age,sex,NHANES,race_f,type,n,Mean,SD,LB,25%,50%,75%,UB,Rhat,n.eff,Parameters,prev_fit,LB_scl,UB_scl,NHANES_year
54,Male,1988-1994,Other Hispanic,Force of Infection (λ),783,0.0115447762927193,0.00316123241151758,0.00785342622819609,0.00855987589839055,0.0101599659268501,0.0146910267288918,0.016295986033675,9.75368341728711,2,"lhat[55,1,1,3]",1.15447762927193,0.785342622819609,1.6295986033675,1991
55,Male,1988-1994,Other Hispanic,Force of Infection (λ),784,0.0112474821404099,0.00314976496567957,0.00756503770684298,0.00827841328177359,0.0098503646902465,0.0143641494862647,0.0160261795400111,9.55180811668861,2,"lhat[56,1,1,3]",1.12474821404099,0.756503770684298,1.60261795400111,1991
56,Male,1988-1994,Other Hispanic,Force of Infection (λ),785,0.0109550309019314,0.00313594740351531,0.00728516904348192,0.0080046419246348,0.00954725224473379,0.0140541922213626,0.0157629319302642,9.36271301455187,2,"lhat[57,1,1,3]",1.09550309019314,0.728516904348192,1.57629319302642,1991
57,Male,1988-1994,Other Hispanic,Force of Infection (λ),786,0.0106674876476632,0.00311986660666059,0.00701987273281453,0.00773878756201112,0.00925067413129419,0.0137335248519885,0.0155009402764229,9.18523400234025,2,"lhat[58,1,1,3]",1.06674876476632,0.701987273281453,1.55009402764229,1991
58,Male,1988-1994,Other Hispanic,Force of Infection (λ),787,0.0103849089238776,0.00310161228760694,0.00675605289690891,0.00748122282929383,0.00896066316365842,0.013420887830339,0.0152310842003036,9.0183387909529,2,"lhat[59,1,1,3]",1.03849089238776,0.675605289690891,1.52310842003036,1991
59,Male,1988-1994,Other Hispanic,Force of Infection (λ),788,0.0101073429608176,0.00308127650678916,0.00650039973147981,0.00723169243053793,0.00867723988400175,0.0131104548213608,0.0149619069412169,8.86110989337417,2,"lhat[60,1,1,3]",1.01073429608176,0.650039973147981,1.49619069412169,1991
60,Male,1988-1994,Other Hispanic,Force of Infection (λ),789,0.00983482989696382,0.00305895320743553,0.00625287613312409,0.00698836242355437,0.00840041304848354,0.0128100005069851,0.0146935417708217,8.71272994849507,2,"lhat[61,1,1,3]",0.983482989696382,0.625287613312409,1.46935417708217,1991
61,Male,1988-1994,Other Hispanic,Force of Infection (λ),790,0.00956740201756202,0.00303473776963876,0.00601190409637831,0.00674479683576766,0.00813018013786737,0.0125075355252909,0.0144261248328971,8.5724690729626,2,"lhat[62,1,1,3]",0.956740201756202,0.601190409637831,1.44261248328971,1991
62,Male,1988-1994,Other Hispanic,Force of Infection (λ),791,0.00930508400554939,0.0030087265848902,0.0057805931839663,0.00651211662422234,0.0078665278885892,0.0122050211571906,0.0141646074137128,8.43967395914776,2,"lhat[63,1,1,3]",0.930508400554939,0.57805931839663,1.41646074137128,1991
63,Male,1988-1994,Other Hispanic,Force of Infection (λ),792,0.0090478932030874,0.00298101665210658,0.00555630490581504,0.00628701500793862,0.00760943283981043,0.0119086615253653,0.0139044355216634,8.31375847094501,2,"lhat[64,1,1,3]",0.90478932030874,0.555630490581504,1.39044355216634,1991
