period,age,race,prev_value,SD_prev,LB_prev,UB_prev,foi_value,SD_foi,LB_foi,UB_foi,year
1,42,NH White,26.2642587681508,0.00678983089356134,24.9684086319752,27.6050177378023,1.77816477684613e-09,1.2325354120646e-08,4.2229051724627e-22,1.50244921434647e-08,1991
1,42,Other,52.7885187363225,0.0335408014141775,46.4988190823993,59.4016759077418,0.000122525619099179,0.000151891774995754,3.36381032901694e-07,0.000541151764720661,1991
1,43,Hispanic,55.4600484696121,0.0201002827106319,51.5094277273301,59.2120821618198,2.75277778161696e-05,4.78701093716553e-05,2.36340432168357e-08,0.000164692239513823,1991
1,43,NH Black,51.8511593954193,0.0163675438783101,48.7243650590515,55.2052858640201,1.1810448942658e-13,4.08612013156587e-12,8.80355063442299e-78,1.99530409475898e-16,1991
1,43,NH White,26.264258915147,0.00678983122871285,24.9684086546543,27.6050178202904,1.38141509001639e-09,9.88771190655673e-09,1.51400666461674e-22,1.13860417828454e-08,1991
1,43,Other,52.7958591726304,0.0335865251201783,46.5001698294758,59.4185992656703,0.000112001069752054,0.000141765238992679,2.64498034496131e-07,0.000504280656646414,1991
1,44,Hispanic,55.461659813072,0.0201142134069762,51.5094686553311,59.2171905861688,2.4564744976537e-05,4.35279031256001e-05,1.74101405488897e-08,0.000149693560931308,1991
1,44,NH Black,51.8511593954262,0.0163675438783881,48.7243650590515,55.2052858640201,7.68238195150385e-14,2.6876874598862e-12,1.45033374979615e-79,9.50636761779235e-17,1991
1,44,NH White,26.2642590294754,0.00678983149043278,24.9684086708823,27.6050178806212,1.07540908193968e-09,7.94239424004428e-09,5.4258703144376e-23,8.6469298873438e-09,1991
1,44,Other,52.8025646437029,0.0336293292385574,46.5011875794273,59.4362200593497,0.000102478805867711,0.000132397166321841,2.0807604966324e-07,0.000470245791301715,1991
1,45,Hispanic,55.4630978763287,0.0201268901716695,51.5094981743763,59.2210782831592,2.19442583686793e-05,3.96092960193425e-05,1.28316809146685e-08,0.000136101356367166,1991
1,45,NH Black,51.8511593954307,0.0163675438784387,48.7243650590515,55.2052858640201,5.00385684233118e-14,1.76918459698157e-12,2.39061004905635e-81,4.53156981804371e-17,1991
1,45,NH White,26.2642591185758,0.00678983169492846,24.9684086825008,27.6050179247592,8.38852511082808e-10,6.38758955108934e-09,1.94554551848802e-23,6.56513294985435e-09,1991
1,45,Other,52.8086959840001,0.0336693999609347,46.5017741817984,59.4512709337591,9.38529062651396e-05,0.000123723618920849,1.63749586820472e-07,0.000439112786446761,1991
1,46,Hispanic,55.4643826704779,0.0201384271558078,51.509522194212,59.2263418217177,1.96235936969979e-05,3.6069852096249e-05,9.4623068237682e-09,0.000123786534079753,1991
1,46,NH Black,51.8511593954337,0.0163675438784716,48.7243650590515,55.2052858640201,3.26329574322911e-14,1.16540935198025e-12,3.94099211009288e-83,2.16122706439451e-17,1991
1,46,NH White,26.2642591881503,0.00678983185480164,24.9684086908231,27.6050179570593,6.55581684943526e-10,5.14310181128921e-09,6.97964622269055e-24,4.98554532362426e-09,1991
1,46,Other,52.8143075684669,0.0337069129371654,46.5022635864928,59.4643925151539,8.60298657385299e-05,0.000115686726431485,1.28789806171699e-07,0.000409713921152148,1991
1,47,Hispanic,55.4655317137525,0.0201489283701482,51.5095416084428,59.2291449296335,1.75657933176098e-05,3.28701479770767e-05,6.98252657689264e-09,0.000112583884576198,1991
1,47,NH Black,51.8511593954356,0.016367543878493,48.7243650590515,55.2052858640201,2.13067271109305e-14,7.68210355818771e-13,6.49765835318104e-85,1.03123969019543e-17,1991
1,47,NH White,26.2642592425797,0.00678983197985726,24.9684086967874,27.6050179807022,5.13293605579103e-10,4.14562712799281e-09,2.5051595549348e-24,3.79124297566536e-09,1991
1,47,Other,52.8194480720897,0.0337420335250434,46.502762331112,59.4776216801179,7.8926983908385e-05,0.000108234038271459,1.01330804535013e-07,0.000382503384103767,1991
1,48,Hispanic,55.4665603674893,0.0201584884794745,51.5095596560682,59.2327593741697,1.57388230569182e-05,2.9975165101144e-05,5.15687222850878e-09,0.000102390508029428,1991
1,48,NH Black,51.8511593954368,0.0163675438785069,48.7243650590515,55.2052858640201,1.39269101859847e-14,5.06715850152112e-13,1.07142655617295e-86,4.92285279647735e-18,1991
1,48,NH White,26.2642592852374,0.00678983207772928,24.9684087010635,27.6050179980122,4.02599109693368e-10,3.34509502625492e-09,8.99576190523865e-25,2.88204013359454e-09,1991
