p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
17459436.9673379,26714513.6266305,41119082.3151307,25224954.0501338,56473387.8781015,28958117.3978473,88461225.0101922,78917685.6228789,13622816.6859784,19427701.9771633
17459436.9673379,26714513.6266305,41108792.30894,25224954.0501338,56473387.8781015,28883377.1820279,78146889.2518794,78917685.6228789,13622816.6859784,19405263.1774496
17046328.7886422,26714513.6266305,40889300.5725621,25224954.0501338,41278306.7941455,25314138.2204525,78146889.2518794,71461976.6531464,13622816.6859784,19383611.1562501
17046328.7886422,26714513.6266305,40889300.5725621,25212664.4627392,38631882.8955587,25314138.2204525,78146889.2518794,70718435.2814339,10636896.1852248,19383611.1562501
16988935.8760776,26714513.6266305,32556832.6456237,25212664.4627392,38631882.8955587,25314138.2204525,78146889.2518794,70718435.2814339,10478575.5725456,19383611.1562501
16975281.1232585,26714513.6266305,32556832.6456237,25212664.4627392,38631882.8955587,25237912.9602101,76728173.9446247,70718435.2814339,10478575.5725456,19350508.1392307
16975281.1232585,26714513.6266305,32556832.6456237,24714726.5629625,38099361.8635155,25237912.9602101,76728173.9446247,70626627.1138362,10478575.5725456,19343718.4077219
15849038.799311,26714513.6266305,32556832.6456237,24714726.5629625,37648802.949635,24982897.8406363,76728173.9446247,70626627.1138362,10478575.5725456,19342879.5168954
15849038.799311,26446994.5742086,32556832.6456237,24714726.5629625,37648802.949635,24982897.8406363,76669278.0243962,70626627.1138362,10478575.5725456,19340640.3873278
15786791.0945884,26446994.5742086,32532373.4870199,23965568.6103854,37648802.949635,24982897.8406363,50173721.5869892,70427628.709679,10478575.5725456,19340640.3873278
14837295.0775282,26380346.1589535,32532373.4870199,23965568.6103854,37648802.949635,24948568.8385345,50173721.5869892,70427628.709679,10478553.0287714,19340640.3873278
14707560.4661791,26380346.1589535,32531287.9080686,23931171.1417491,37648802.949635,24940711.2248733,32044188.6867843,69499877.2763585,10478553.0287714,19339134.0676331
12345175.4279832,26033778.7075801,32531287.9080686,23931171.1417491,35590674.1650787,24940711.2248733,32044188.6867843,62803019.0661242,10478553.0287714,19339134.0676331
12345175.4279832,26020954.3464359,30229910.2741648,22600619.5801656,35569847.3598788,24940711.2248733,32044188.6867843,62803019.0661242,10355646.3739983,19277825.451339
12335471.9439394,23601134.5378949,30229910.2741648,22600619.5801656,35569847.3598788,24940711.2248733,32044188.6867843,62803019.0661242,10348988.3299382,17673894.2274465
12335471.9439394,21174585.2561609,29866212.9362281,22600619.5801656,35569847.3598788,24940711.2248733,32044188.6867843,62803019.0661242,10348988.3299382,17673894.2274465
12331584.0041937,21174585.2561609,29866212.9362281,22600619.5801656,35569847.3598788,24702856.2511573,32044188.6867843,62121083.8309138,10283320.6706442,11996544.4727395
12195956.3897713,14399663.2696949,29866212.9362281,22600619.5801656,35569847.3598788,24702856.2511573,32037831.7055829,62121083.8309138,10283320.6706442,11996544.4727395
12195956.3897713,14399663.2696949,29866212.9362281,19166101.3716647,35352415.2571035,24702856.2511573,32037831.7055829,43258715.1403368,10283320.6706442,11973896.0411809
11268494.567486,14399663.2696949,29866212.9362281,18583287.5969765,35352415.2571035,24702856.2511573,32037831.7055829,43258715.1403368,10283320.6706442,11973896.0411809
11268494.567486,14399663.2696949,29866212.9362281,18544417.7766777,29034347.7472776,24702856.2511573,32004595.2536145,43161585.9277519,10073242.1960321,11973896.0411809
10571675.3014259,11963688.4276406,28217298.3173416,18544417.7766777,29031775.8575116,16831309.5398966,31330642.6497632,41674697.667312,10058115.7053555,11973896.0411809
10571675.3014259,11963688.4276406,27681247.5502384,18544417.7766777,28919666.1576597,16831309.5398966,31330642.6497632,33019794.3252161,10058115.7053555,9835218.95880758
10329279.0624267,11556241.4099898,22634005.3948287,18544417.7766777,28919666.1576597,16831309.5398966,31330642.6497632,33019794.3252161,9958027.5018189,9835218.95880758
