V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
105.1623544,61.44456038,29.45013454,10.59108681,4.231378831,1.937338273,0.412520205,0.909254959,1.353652784,2.646860784,2.346125028,1.591482636,1.603430205,1.608626056,1.552851823,1.534684976,208.1827276,92.13215202,46.14804007,7.968013189,4.169349899,3.039889267,1.452120257,0.729807171,280.0275849,105.9269319,37.45947087,16.09465889,9.131956554,0.834316548,0.99038939,1.358339057
117.3343146,63.93132912,27.75866303,10.03692615,4.071505834,2.713857357,1.361174182,1.135545516,3.760102684,1.6883879,1.718519009,1.524827953,1.708118564,1.61052863,1.671888785,1.557879807,163.6904782,103.036653,41.69400546,11.10111655,3.533936423,1.979483311,0.063729657,0.347768874,224.8440254,133.8475095,57.07623513,15.52496103,5.390888239,2.259743518,3.334440882,0.551169122
74.19210485,56.84167273,32.121602,8.027859243,5.657642168,1.862726164,1.609204328,0.756792663,2.125655897,3.261184843,1.275234563,1.632220677,1.624715615,1.616556668,1.641350653,1.58958925,141.9739634,68.96777008,46.60297229,12.62160161,4.213050408,0.940790607,2.212380793,0.554059742,239.686171,111.9571687,54.09221198,8.713663181,5.379117957,0.682147359,3.015292015,1.611830134
87.02928171,53.47979885,33.06444411,10.00058769,5.476874313,0.645196269,1.726514389,1.646581816,3.205494166,1.466375299,2.152663523,1.643139862,1.63882151,1.567422244,1.620239359,1.583689916,166.4076179,84.39973198,43.33132102,12.10809822,2.920143148,2.326772285,1.66437992,0.977280338,345.2025047,82.84190518,58.37226527,13.11801595,3.880186991,3.369710727,1.698438135,0.845440724
106.9909495,71.04965752,25.76546841,10.98065508,3.730524043,0.853793084,2.607338801,0.828948745,4.326053473,1.631947219,1.732049947,1.74499238,1.524855484,1.612697418,1.51699784,1.564071951,205.0359413,82.19875592,45.99333765,12.20622936,3.538182202,1.173778163,1.789413447,1.199811315,187.6056599,132.2119025,54.00478638,12.78303455,3.64449328,4.273944533,1.271911415,0.780910687
107.3037193,67.83462878,25.0381725,10.76947344,5.346391625,2.071481549,1.950450102,1.136902815,2.630551132,2.078947198,1.712446078,1.725217712,1.617839236,1.567154442,1.593906743,1.56565966,183.8335421,92.4139497,40.13360876,11.17099286,4.516673707,1.40726132,0.639201405,1.165636036,110.2114107,142.3079402,59.87902558,7.837759578,3.598203559,5.278052009,3.818580022,2.191056892
95.76486273,48.89919321,28.45025806,10.38582899,5.177748823,1.854034235,1.485543755,1.422054224,1.806470869,1.231798353,1.839755111,1.775610818,1.653872465,1.56719867,1.630454693,1.566109575,176.2444109,121.2831465,43.49195027,10.23616938,5.111946652,1.155845161,0.875290241,0.811834838,375.3052858,120.9978794,58.21640088,8.519501998,5.605728306,0.523431908,1.295126755,2.108596087
114.7491129,71.14762126,32.80304204,9.271296734,4.107360001,1.325595247,1.900345854,0.41484588,3.043310151,1.701704811,2.029284361,1.648961353,1.60913643,1.654521238,1.529961956,1.586502711,202.4137204,87.22163099,40.53417011,11.57809539,6.484243512,1.821997703,0.687424283,0.683672987,278.662167,110.0896584,44.12989334,19.65162021,3.57730447,0.935867607,1.136876367,0.80345901
88.71358757,54.33083525,26.90085836,12.42828918,3.83098952,1.672000174,2.016139674,0.666581405,1.680766729,3.3568784,1.816733892,1.691742758,1.46075513,1.62143528,1.587212276,1.529991429,144.2064469,93.57381818,43.99480321,8.838107974,4.0060543,2.28731521,1.258909542,0.37166499,308.6969214,139.163832,64.11882893,14.02848286,6.728186078,2.554624739,4.772082033,1.291700318
88.1471237,58.01533179,31.10190871,9.685232745,4.735637664,2.970750551,1.734767098,1.137798584,2.911339685,2.61920691,1.965110475,1.764148719,1.591389966,1.609981047,1.491255413,1.580266863,151.5561952,87.51672685,43.95409156,8.34736461,3.473959099,1.287499416,1.788788045,0.786989997,228.7252458,151.6777924,52.34504641,11.80441808,6.173660188,5.988973754,4.081758281,1.312951554
