p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
312456106.313441,439380742.007934,779187894.405589,896974519.400057,1609020865.63109,742179082.623349,1095195123.93646,1314624787.22614,472235363.030383,566171204.851854
312347689.695826,439252686.563904,778467261.335251,896974519.400057,1609020865.63109,742179082.623349,1095195123.93646,1314624787.22614,465945706.790961,566171204.851854
312347689.695826,439252686.563904,774715215.36527,896974519.400057,1487825242.0189,742179082.623349,1095195123.93646,1313227419.80011,445441686.785048,483215998.648379
312347689.695826,439159923.894526,774715215.36527,895942904.322095,1302550904.62552,735463368.768818,1095195123.93646,1313227419.80011,445441686.785048,483051058.949028
312055251.43878,439159923.894526,774366995.803459,890989054.546767,1302550904.62552,667134862.156716,962638288.180614,1313145600.33437,440827187.691296,483051058.949028
239786886.849675,438963290.557574,763576961.513163,847888405.148199,1302550904.62552,667134862.156716,962637605.71389,1313145600.33437,440827187.691296,483051058.949028
239579279.481447,438963290.557574,753440035.285339,847888405.148199,1145843266.22741,667134862.156716,962637605.71389,1313145600.33437,323026588.438036,482534999.324507
239458231.161468,438761912.830459,645889419.050227,847888405.148199,1145843266.22741,667134862.156716,930658115.804163,1313145600.33437,323026588.438036,482534999.324507
239458231.161468,438761912.830459,645889419.050227,847863751.028566,1145843266.22741,667133577.795674,930656965.944711,1313145600.33437,323026588.438036,482534999.324507
239406670.286393,438761912.830459,645889419.050227,845165688.291143,1145843266.22741,667133577.795674,930656965.944711,1313145600.33437,323003623.728281,482289394.478948
239406670.286393,438761912.830459,645889419.050227,845165688.291143,1145843266.22741,665961990.379693,930656965.944711,1311228112.95822,323003623.728281,464241189.040377
239406670.286393,438715248.255055,645889419.050227,780088271.154204,1145843266.22741,663442882.363523,861073919.171144,1311228112.95822,323003623.728281,464241189.040377
237928734.463306,438715248.255055,645868758.470813,780088271.154204,1141201607.37998,663405297.176018,861073919.171144,1311228112.95822,323003623.728281,464241189.040377
237928734.463306,438715248.255055,552073773.250008,753945220.978122,1141201607.37998,663405297.176018,860983661.35594,1300908521.61263,308643875.451643,464241189.040377
237085654.713652,438715248.255055,552073773.250008,753945220.978122,1138643772.01093,663405297.176018,860249839.476291,1300908521.61263,308638540.772952,464241189.040377
237085654.713652,438715248.255055,552073773.250008,753945220.978122,990835958.870237,663405297.176018,860249839.476291,1300908521.61263,308638540.772952,464241189.040377
237085654.713652,438715248.255055,552073773.250008,698753253.952722,808735400.45491,663096915.572558,860249839.476291,1300908521.61263,308592838.024889,464241189.040377
237085654.713652,438715248.255055,552073240.87933,698753253.952722,808735400.45491,556513712.554252,860249839.476291,1137894725.16256,240780142.648282,455584012.256435
234034372.573006,436026392.068538,552073240.87933,698753253.952722,808735400.45491,556513712.554252,845681473.310067,1137894725.16256,240780142.648282,455584012.256435
233959261.810837,436026392.068538,552073240.87933,698038389.939297,808717174.760148,556502070.331246,845681473.310067,1137894725.16256,240779158.070515,455584012.256435
233959261.810837,436026392.068538,552073240.87933,677284148.563194,808717174.760148,556502070.331246,845396816.735633,1137894725.16256,240779158.070515,455486197.838589
233959261.810837,436026392.068538,552073240.87933,677263405.616045,808717174.760148,556502070.331246,845396816.735633,1129881790.01942,240206424.003024,454185758.691865
