p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
297687160.011424,517747804.443788,778279318.735668,827379377.346084,1261636883.44804,781888024.69456,1312588639.2074,1765644717.68922,576678602.935526,698277963.65708
297156555.599826,517674748.56392,778279318.735668,827379377.346084,1261636883.44804,775188928.760457,1307751462.30431,1765644717.68922,576676717.472762,696082519.423881
297156555.599826,517674748.56392,778279318.735668,826941980.529876,1261636883.44804,775188928.760457,1307751462.30431,1765423537.53422,571588027.568506,696082519.423881
297156555.599826,483673334.278856,778279318.735668,777364648.769254,1261636883.44804,774819979.618975,1307751462.30431,1760319683.47514,571588027.568506,672302093.621242
297156555.599826,483673334.278856,778279318.735668,775638880.031599,1235147621.82785,774819979.618975,1307751462.30431,1573333306.31916,499564205.516701,672302093.621242
297156555.599826,482888570.821306,778279318.735668,775638880.031599,1235147621.82785,774770830.175076,1305481916.15588,1573333306.31916,465982114.862255,641629767.105632
295943918.614554,482854858.38614,778279318.735668,732252951.395056,1233939842.58795,774770830.175076,1305367954.47688,1573333306.31916,465982114.862255,641525971.301867
295943918.614554,481645701.210679,777828383.19406,731249380.944379,1233939842.58795,773618053.745582,1305367954.47688,1519071434.90751,463376910.266121,641525971.301867
295943918.614554,481552741.701043,758636240.465829,731249380.944379,1233939842.58795,773618053.745582,1305367954.47688,1519071434.90751,452208532.521444,641525971.301867
293787337.272898,481059507.695853,757483876.200597,731249380.944379,1233939842.58795,773618053.745582,1305367954.47688,1519062163.17972,452208532.521444,641525971.301867
293341343.442271,481059507.695853,757483876.200597,730461764.570538,1233939842.58795,773618053.745582,1305367954.47688,1519062163.17972,447348134.759244,641525971.301867
293088799.351279,480994281.220829,756763971.521228,730461764.570538,1233939842.58795,773618053.745582,1305367954.47688,1519062163.17972,447206666.489437,585905484.692998
293088799.351279,480994281.220829,756763971.521228,730461764.570538,1233939842.58795,773618053.745582,1305367954.47688,1519062163.17972,447206666.489437,585905484.692998
293088363.632498,480994281.220829,753979628.020417,730461764.570538,1233939842.58795,773618053.745582,1292801591.48614,1519062163.17972,422520801.936501,585905484.692998
291755178.346539,478362682.045699,753979628.020417,730461764.570538,1010432231.59688,773618053.745582,1173182001.57709,1518144488.88897,422520801.936501,584439784.075377
290355501.581593,478362682.045699,575082878.625205,690460733.032973,1010432231.59688,773618053.745582,1066796699.51476,1518144488.88897,422520801.936501,584439784.075377
290355501.581593,437845678.920333,574883138.779644,690460733.032973,1010432231.59688,773618053.745582,1033814388.64936,1518035430.7006,422520801.936501,506053486.17911
