b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32
-1.56521771645104e-11,4.7660302633911e-11,1.19729880546942e-11,-5.6219793495848e-12,4.83585137804186e-13,-1.41103741306112e-11,-8.6360945947488e-12,6.53096124871112e-12,-0.269632698311914,-0.269632698327562,0.20135900769402,-0.0137482943781341,-0.00227048618684012,-0.00101338513639968,-0.000596871427760611,-0.00144765791120224,-2.78248899444677e-10,3.24299190771831e-11,-7.55595119408529e-12,1.49391481885499e-11,-1.2049081497802e-11,-9.0925371386649e-12,-1.64126981929424e-11,1.42340926016229e-12,3.48868056957613e-10,-1.53674353763092e-10,-1.30158338139087e-10,3.76830763669432e-11,-9.51348696754127e-12,-5.70583773195892e-12,-2.42403403597646e-11,2.1539177822734e-11
-7.98649062884312e-12,1.49595488782133e-12,1.33186774718195e-12,4.24141404276805e-13,-5.00213682252448e-14,-1.62280134801977e-12,-2.9050659640192e-12,3.54172986690696e-13,-0.0137482943780926,-0.0137482943794389,-0.0137482943781341,0.0113490010168835,-0.00227048618689007,-0.00101338513641999,-0.00059687142749014,-0.00144765791122565,-2.8139017459649e-11,4.6244582308075e-12,2.61497424131098e-13,1.12619411127813e-12,-8.61216749682462e-13,-2.09549332168363e-12,-1.36063289361466e-12,1.96190120154184e-13,7.15784171103775e-11,-1.72746626077871e-11,-9.60506247919234e-12,5.36110938636069e-12,-4.23569320667744e-12,2.70245072026956e-12,-1.93137590294485e-11,1.39803703070043e-12
-6.02981683930728e-12,-6.2711574865486e-13,3.63781855926957e-13,2.65468324391737e-13,-2.46773964571151e-13,-1.49019808814808e-13,-4.58789402135631e-13,-1.02493657710939e-13,-0.00227048618704532,-0.00227048618695921,-0.00227048618684011,-0.00227048618689007,0.0105013633736561,-0.00101338513642186,-0.000596871427464859,-0.00144765791123193,-1.52679203131659e-11,2.24819905559388e-12,1.87977325194618e-13,2.06481933139149e-13,-5.73456039481423e-13,-1.08339524803518e-13,-5.98639821796191e-13,5.19733829413901e-14,-3.83848781672523e-11,-1.13285473905477e-11,2.35513822020073e-12,1.31415385578517e-12,-3.26373670869782e-14,-1.99212289363487e-12,-3.43378982482416e-12,3.03959093845312e-14
-3.90329619243458e-12,-6.85570112099571e-13,1.35437293299974e-14,3.41306747448367e-13,-2.79880379637096e-13,-7.74152427638402e-14,-1.65013845720482e-13,-7.58399366247377e-14,-0.00101338513588464,-0.00101338513681757,-0.00101338513639966,-0.00101338513641999,-0.00101338513642186,0.00700916529725329,-0.000596871427460626,-0.00144765791123294,1.33538779528493e-12,3.34452630128091e-13,3.20106327541494e-13,-1.43378476251028e-13,1.26333001599446e-13,-6.2612620395667e-14,-3.67571745357467e-13,1.93236105341608e-14,1.67340622929991e-11,-1.88025857072421e-12,2.93519818218315e-13,1.13541770384325e-13,-3.74986114396655e-13,6.76784269792674e-13,-1.96338332646136e-12,-1.81836102727394e-13
5.92056610078524e-12,3.31213354259869e-12,-5.30924442857569e-13,-1.03417726034352e-12,7.84252229236898e-13,6.1573292934063e-14,1.83599422876294e-12,3.5254754176096e-13,-0.000596871423732504,-0.000596871425365052,-0.000596871427760583,-0.000596871427490139,-0.000596871427464859,-0.000596871427460627,0.0120878973739643,-0.00144765791123451,2.64966480647517e-11,-3.41546902048708e-12,-1.1447205464115e-12,-1.70471107283577e-13,9.56273647673364e-13,7.55569417391364e-13,8.0329868886416e-13,-1.14729815548786e-13,-2.73408022444399e-12,3.93483171413122e-12,-4.83545381347965e-13,-1.52984142182079e-12,1.77377307641635e-12,-1.32833554517291e-12,9.07907758215605e-12,5.21452671485776e-13
-9.19108828267957e-13,-4.55343947349576e-14,3.34350096479493e-13,1.06161493940935e-13,-1.87132677122595e-14,-1.44642715648197e-13,-1.11184345455753e-12,4.67362727173096e-14,-0.00144765791189223,-0.00144765791148613,-0.00144765791120223,-0.00144765791122565,-0.00144765791123193,-0.00144765791123294,-0.00144765791123451,0.00250076382999281,-6.58782954283988e-12,5.36035131963217e-13,9.28702668760624e-14,2.37197508307502e-13,-2.15926484912007e-13,-4.15488215320872e-13,-4.09045534090498e-13,4.86635658172943e-14,2.28869500623588e-12,7.77857452466048e-13,-1.46170201980649e-12,5.28730060571358e-13,-3.77083370738347e-13,8.74411376713344e-13,-2.89714750344256e-12,-2.05036424497643e-13
1.83998197630453e-08,2.41774890395249e-09,-1.50389049588935e-09,-1.36940269872431e-09,6.36451082911269e-10,5.89834011452041e-10,5.8775818888561e-09,4.50846301998828e-11,3.58119973057912e-09,2.1773913344501e-09,-2.78248899444677e-10,-2.81390174596491e-11,-1.5267920313166e-11,1.33538779528532e-12,2.6496648064752e-11,-6.58782954283886e-12,2913.26829782955,-195.529398361492,-18.4210838541055,-5.49834964377443,-0.972043008188997,-0.272769835897454,-0.100573584671171,-0.0610473937903539,-3.82994257781173e-08,5.42538607692841e-09,1.95839407221385e-09,-3.47973434404196e-09,3.17163031491551e-09,-4.19081173335472e-09,2.36108632221256e-08,1.22143317921854e-09
-2.71075916099672e-09,-3.83778095994646e-10,2.01455944947014e-10,1.92661531741767e-10,-8.04306145368848e-11,-5.90861121139809e-11,-7.47344402269441e-10,-3.18977365708853e-11,-5.37744351149988e-10,-2.8355285645374e-10,3.24299190771831e-11,4.62445823080749e-12,2.24819905559389e-12,3.34452630128042e-13,-3.41546902048712e-12,5.3603513196315e-13,-195.529398361492,302.294240097672,-18.4210838525354,-5.49834964350145,-0.972043008767591,-0.27276983690315,-0.100573588090063,-0.0610473943700461,-2.48225130719987e-08,-8.42152428216402e-10,1.10813412163298e-09,3.65766582565649e-10,-5.56507952974031e-10,3.61261061555918e-10,-2.30086208952676e-09,-1.46565824656918e-10
-1.52345981222022e-09,1.59360277582185e-10,8.57149959755541e-11,1.02019270571679e-11,6.12315885119668e-11,-7.59753857705926e-11,-1.44058899634177e-10,-6.39668880454795e-12,-1.10716261453999e-12,2.33452086666334e-11,-7.55595119408527e-12,2.61497424131096e-13,1.87977325194607e-13,3.20106327541494e-13,-1.14472054641151e-12,9.28702668760614e-14,-18.4210838541055,-18.4210838525354,27.2571406632289,-5.49834964350368,-0.972043008816188,-0.272769836848306,-0.100573587600118,-0.0610473942685515,-1.33851461123274e-09,3.35279053628066e-10,-4.5194896588496e-10,2.57782540842209e-11,1.49102878919817e-10,4.76766890260273e-11,9.18164588948382e-11,-1.02197463763602e-10
1.07597795075594e-10,-2.21666904327307e-10,-3.53115089363092e-12,4.69472328758052e-11,-4.97598556163769e-11,2.1924746377726e-11,-1.07139223137946e-10,-4.41693975595686e-12,-1.73535854222364e-10,-8.72358376698292e-11,1.49391481885498e-11,1.12619411127813e-12,2.06481933139141e-13,-1.43378476251047e-13,-1.70471107283596e-13,2.37197508307511e-13,-5.49834964377433,-5.49834964350143,-5.49834964350368,4.33835235008318,-0.972043008796906,-0.272769836810939,-0.100573587535273,-0.0610473942633819,3.75975417755942e-09,-3.14301911088393e-11,8.67256683068269e-11,3.83682720718746e-11,-1.51880884764542e-10,1.06544325357098e-10,-3.48257501092606e-10,-5.70490680470341e-11
