p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1771.72714831688,-1773.33832723914,-1774.0864644728,-1774.58091731512,-1774.51898594884,-1774.65874484198,-1774.9279628638,-1775.15174516468,-1770.55556506942,-1770.89671506261
-1771.72714831688,-1773.34064227699,-1774.0864644728,-1774.64367960634,-1774.51898594884,-1774.65874484198,-1774.9279628638,-1775.15174516468,-1770.55556506942,-1770.89671506261
-1771.72714831688,-1773.86937644205,-1774.0864644728,-1774.70652919568,-1774.51898594884,-1774.65874484198,-1774.96152052315,-1775.15174516468,-1770.55556506942,-1770.89671506261
-1771.72714831688,-1774.55015110959,-1774.0864644728,-1774.79552851725,-1774.52334367037,-1774.65874484198,-1774.96152052315,-1775.15174516468,-1770.55556506942,-1771.76298203297
-1771.83017680025,-1774.55015110959,-1774.0864644728,-1774.79552851725,-1774.91532426769,-1774.65874484198,-1774.96152052315,-1775.17290127278,-1770.55556506942,-1771.76298203297
-1771.83017680025,-1774.55015110959,-1774.0864644728,-1774.79552851725,-1774.91532426769,-1774.65874484198,-1774.96152052315,-1775.31606944416,-1770.55556506942,-1771.8526872118
-1771.83017680025,-1774.55015110959,-1774.0864644728,-1774.80825996679,-1774.91532426769,-1774.65874484198,-1774.96152052315,-1775.31606944416,-1770.55556506942,-1771.8526872118
-1772.73706609117,-1774.55015110959,-1774.11458505001,-1774.80825996679,-1774.91532426769,-1774.65874484198,-1774.96634430871,-1775.31606944416,-1770.5565584657,-1771.8526872118
-1773.11063824191,-1774.55523712702,-1774.11458505001,-1774.91420329169,-1774.91532426769,-1774.65874484198,-1775.03092830767,-1775.31606944416,-1770.5565584657,-1771.8526872118
-1773.11063824191,-1774.55523712702,-1775.19063969696,-1774.91420329169,-1774.91532426769,-1774.83891566784,-1775.1314694672,-1775.31606944416,-1770.5565584657,-1771.8526872118
-1773.11063824191,-1774.55523712702,-1775.19063969696,-1775.01271101946,-1774.91532426769,-1775.03143256654,-1775.1314694672,-1775.31606944416,-1771.26327415689,-1771.8526872118
-1773.11063824191,-1774.55523712702,-1775.19063969696,-1775.01271101946,-1774.91532426769,-1775.03143256654,-1775.1314694672,-1775.33497559486,-1771.26327415689,-1771.8526872118
-1773.11063824191,-1774.55523712702,-1775.19337424683,-1775.02960491941,-1774.91532426769,-1775.03143256654,-1775.1314694672,-1775.45652052421,-1771.26327415689,-1771.8526872118
-1773.11063824191,-1774.55523712702,-1775.19337424683,-1775.02960491941,-1774.91532426769,-1775.03143256654,-1775.1314694672,-1775.45652052421,-1771.28803374537,-1771.8526872118
-1773.15166782422,-1774.6279335895,-1775.19337424683,-1775.16285001782,-1775.21615940403,-1775.03143256654,-1775.1314694672,-1775.45652052421,-1771.28803374537,-1771.8526872118
-1773.15166782422,-1775.09220824805,-1775.19337424683,-1775.16285001782,-1775.21615940403,-1775.03143256654,-1775.1314694672,-1775.53810143272,-1771.28803374537,-1772.27983534379
-1773.15166782422,-1775.09220824805,-1775.19337424683,-1775.16285001782,-1775.21615940403,-1775.05230277212,-1775.19159300183,-1775.53810143272,-1771.28803374537,-1772.27983534379
-1773.15166782422,-1775.09220824805,-1775.19337424683,-1775.31113475316,-1775.21615940403,-1775.05230277212,-1775.19159300183,-1775.53810143272,-1771.32699206819,-1772.27983534379
-1773.15166782422,-1775.09220824805,-1775.19337424683,-1775.31113475316,-1775.21615940403,-1775.05230277212,-1775.41584825746,-1775.53810143272,-1771.34342690122,-1772.64137064202
-1773.16555870223,-1775.09220824805,-1775.19337424683,-1775.31113475316,-1775.21615940403,-1775.0938507019,-1775.41584825746,-1775.53810143272,-1771.44181550928,-1772.64137064202
-1773.16555870223,-1775.10644885396,-1775.19337424683,-1775.31113475316,-1775.45008108261,-1775.0938507019,-1775.41584825746,-1775.53810143272,-1771.44181550928,-1772.64137064202
-1773.16555870223,-1775.10644885396,-1775.19337424683,-1775.31113475316,-1775.45008108261,-1775.0938507019,-1775.41584825746,-1775.53987446681,-1771.44181550928,-1772.64137064202
-1773.16555870223,-1775.10644885396,-1775.19337424683,-1775.31113475316,-1775.56402550464,-1775.0938507019,-1775.41584825746,-1775.53987446681,-1771.46783402648,-1772.64137064202
-1773.16555870223,-1775.10644885396,-1775.1976072119,-1775.31113475316,-1775.56402550464,-1775.27527583247,-1775.41584825746,-1775.53987446681,-1771.46783402648,-1772.76888389336
-1773.16555870223,-1775.10644885396,-1775.24472589601,-1775.31113475316,-1775.56402550464,-1775.27527583247,-1775.41584825746,-1775.53987446681,-1771.46783402648,-1772.89196078388
-1773.16555870223,-1775.10644885396,-1775.24729591042,-1775.31113475316,-1775.56402550464,-1775.28125735274,-1775.43254005725,-1775.53987446681,-1771.54455778127,-1772.89196078388
-1773.16555870223,-1775.11236697959,-1775.24729591042,-1775.31113475316,-1775.56402550464,-1775.28125735274,-1775.43254005725,-1775.53987446681,-1771.54455778127,-1772.92603372
-1773.16555870223,-1775.11236697959,-1775.24729591042,-1775.31113475316,-1775.86005863208,-1775.28125735274,-1775.43254005725,-1775.70422411837,-1771.54455778127,-1772.92603372
-1773.16555870223,-1775.11236697959,-1775.24729591042,-1775.31113475316,-1775.86005863208,-1775.28125735274,-1775.47278006009,-1775.70422411837,-1771.54455778127,-1772.96916904579
-1773.30537310682,-1775.11236697959,-1775.24729591042,-1775.31113475316,-1775.86015731179,-1775.28125735274,-1775.47278006009,-1775.70422411837,-1771.54455778127,-1772.96916904579
-1773.30537310682,-1775.11236697959,-1775.2492502885,-1775.31113475316,-1775.86015731179,-1775.28125735274,-1775.47278006009,-1775.70422411837,-1771.54455778127,-1772.96916904579
-1773.30537310682,-1775.11236697959,-1775.2492502885,-1775.31113475316,-1775.86015731179,-1775.28125735274,-1775.47278006009,-1775.70422411837,-1771.54455778127,-1773.02804393851
