p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
7264074.6976634,10128155.3211318,14825278.4660719,17321326.285822,18046142.8369321,18378397.2052046,16752368.8491086,26476133.6632122,8089809.94641778,7284822.83690144
7264074.6976634,10128155.3211318,14825278.4660719,17321326.285822,18046142.8369321,18028571.5952028,16752368.8491086,26476133.6632122,8089809.94641778,7180957.2017866
7264074.6976634,9969169.27828721,13906199.0240124,17321130.8293475,18046142.8369321,17984286.1163567,16752368.8491086,26476133.6632122,8089809.94641778,7173335.7109194
7264074.6976634,9969169.27828721,13889208.9469935,17128293.4184736,18046142.8369321,10339531.4424147,16752368.8491086,26476133.6632122,6924018.48219153,7173335.7109194
7264074.6976634,9969169.27828721,13837291.429619,17128293.4184736,18046142.8369321,10339531.4424147,16745502.8245097,26448808.6803855,6924018.48219153,5329302.6704124
7264074.6976634,9969169.27828721,13837291.429619,17128293.4184736,18044257.0685654,10339531.4424147,16716688.2080879,25141960.3804532,6924018.48219153,5328965.6734012
7264074.6976634,9969169.27828721,13837291.429619,17128293.4184736,17944235.1474221,10338519.6542146,16716688.2080879,24286450.8408285,6808814.48287186,5305843.6558737
7251627.62284625,9933878.36012731,13837291.429619,16453278.7398504,17944235.1474221,10338519.6542146,16301514.7984649,24286450.8408285,6808814.48287186,5305843.6558737
7251627.62284625,6372614.4770895,13837291.429619,16405272.736205,17944235.1474221,10338519.6542146,16301514.7984649,24286450.8408285,6806544.49199801,5305843.6558737
4765853.32670928,6372614.4770895,13837291.429619,16349299.5997365,17944235.1474221,10338519.6542146,16301514.7984649,24286450.8408285,6806544.49199801,5305843.6558737
4765853.32670928,6372614.4770895,13685531.6088519,12201011.6598937,17944235.1474221,10332569.1665797,16301514.7984649,24017258.7131494,6806544.49199801,5305843.6558737
4765123.67929293,6372614.4770895,13685531.6088519,12201011.6598937,17717298.4663194,7793757.36941065,16295956.5487198,23842474.7810548,6806544.49199801,5305843.6558737
4765123.67929293,6372614.4770895,12421201.219848,12201011.6598937,17717298.4663194,7793757.36941065,14338995.214065,23842474.7810548,6806483.33717362,5287072.76201784
4765123.67929293,6372614.4770895,12419754.2159934,12201011.6598937,17716777.8358207,7647522.32139475,14338995.214065,23842474.7810548,6806483.33717362,5101261.30493614
3975745.54253467,4213793.14762046,9997422.50891061,12201011.6598937,17685911.4166655,7647522.32139475,14338995.214065,22887146.2988278,6527465.23738059,5100893.76451214
3963966.88624065,4213793.14762046,9997422.50891061,12201011.6598937,17685911.4166655,7647522.32139475,9005077.98992364,22887146.2988278,6527465.23738059,5100893.76451214
3776693.71519153,4213793.14762046,9997422.50891061,12201011.6598937,17685911.4166655,7647522.32139475,8843806.68649968,22887146.2988278,6520015.01725204,5100893.76451214
3725216.83394524,4213793.14762046,9889819.93111405,12102038.0425766,17685911.4166655,7647522.32139475,8843806.68649968,22887146.2988278,6520015.01725204,5100813.018754
2316725.1945471,4081127.11909796,9889819.93111405,12083007.9519163,17685911.4166655,7394471.10573408,8843806.68649968,22887146.2988278,6520015.01725204,4033196.03098312
2316725.1945471,4055825.11727472,9889819.93111405,12083007.9519163,17685911.4166655,7394471.10573408,8843806.68649968,22887146.2988278,4093957.42700651,4033196.03098312
2316725.1945471,4055825.11727472,9772488.28573447,10429967.8649564,15445500.9119764,7393353.18256315,8843806.68649968,22887146.2988278,4093957.42700651,4033196.03098312
2148591.10955881,4055825.11727472,9772488.28573447,10429967.8649564,15445500.9119764,7224038.82120576,8843806.68649968,20906674.2450603,1613219.00512484,4033196.03098312
2148591.10955881,4039338.68235031,9717505.10746657,10429967.8649564,15445500.9119764,7224038.82120576,8843806.68649968,20906674.2450603,1613219.00512484,4033196.03098312
2148319.83758397,4039338.68235031,9717505.10746657,10429967.8649564,15445500.9119764,6958128.42190386,8843806.68649968,19594256.1950084,1605193.14098165,4033196.03098312
2148319.83758397,4037302.95596124,9613545.00770697,7738263.41710633,15445500.9119764,6438471.24760686,8765780.8354236,19467773.274733,1605193.14098165,4032551.89663338
2148319.83758397,4037302.95596124,9613545.00770697,7738263.41710633,15445500.9119764,6098482.9129937,8765780.8354236,19467773.274733,1605193.14098165,4032551.89663338
2133110.72083513,4037302.95596124,4159975.9482367,6739439.46515376,13034200.7626319,6067670.62297534,8765563.4805392,19467773.274733,1484041.67891062,4000851.57144179
2133110.72083513,4028927.99400013,4159975.9482367,6280811.73901902,13034200.7626319,5888903.00734942,8765563.4805392,19467773.274733,1482633.60208418,3657573.59134224
2133110.72083513,4028927.99400013,4158313.4233593,6280811.73901902,13034200.7626319,5888903.00734942,8765563.4805392,19467773.274733,1482633.60208418,3657573.59134224
2133110.72083513,4028927.99400013,4158313.4233593,6109651.93311613,10190887.1680613,5750927.22266702,8584523.40146866,19467773.274733,1481699.22345804,3657573.59134224
2133110.72083513,4023311.50169496,4147546.87328512,6109651.93311613,10190887.1680613,5750927.22266702,8584523.40146866,19449371.2665936,1481699.22345804,3649142.18790555
2133110.72083513,4023311.50169496,4147546.87328512,5998824.73108028,10190887.1680613,5750927.22266702,8584523.40146866,19449371.2665936,1481699.22345804,3649142.18790555
1706228.77194615,4023311.50169496,4144597.10137465,5933512.79150565,3958571.81840474,5750927.22266702,8570190.09560836,19449371.2665936,1481699.22345804,3638494.92845293
1630129.53747644,3444053.20317073,4100087.93587357,5933512.79150565,3958571.81840474,5485043.22251081,8538416.84906075,19443560.1939785,1452462.01314587,2916490.66046967
1603794.53539774,3444053.20317073,4100087.93587357,5933512.79150565,3958571.81840474,5485043.22251081,7971845.51775964,19443560.1939785,1452462.01314587,2916490.66046967
1603794.53539774,3444053.20317073,4100087.93587357,5933512.79150565,3867616.81587381,5424305.79203741,7971845.51775964,10502371.5235668,1411710.22486214,2916490.66046967
1603794.53539774,3444053.20317073,4098728.21929072,5890249.67248781,3867616.81587381,5424305.79203741,5412013.84694156,10502371.5235668,1411710.22486214,2916490.66046967
1603794.53539774,2137346.96269144,4098728.21929072,5890249.67248781,3803844.10950335,5424305.79203741,5412013.84694156,10502279.9214631,1411710.22486214,2916490.66046967
1603794.53539774,2137346.96269144,4098611.61205557,5890249.67248781,3803844.10950335,4460005.22166683,5412013.84694156,10502279.9214631,1411710.22486214,2916490.66046967
