"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"11",2.45270487700002e-13,1.14318354441398e-12,-3.62123685843087e-13,5.1443308997375e-14,5.87918291453865e-12,4.40655853364118e-12,1.38275856104236e-12,-1.91220722346485e-11,-0.274822888880446,-0.386770340606729,1,-0.287597081145079,-0.0493753843970331,-0.0269746518336177,-0.012098175385738,-0.0645125304741532,-1.8804340834706e-12,5.84711690875474e-14,2.69446355569357e-12,8.7131417531634e-12,1.20851022835023e-12,-1.27304171623456e-11,-3.41639934528083e-11,-1.2050456990421e-11,-8.0044737886339e-12,3.01460066153322e-13,-1.66243251882068e-12,-1.65601941449928e-11,1.42079187283889e-11,-3.29322840785461e-11,7.64426229006968e-11,-2.91857554044409e-12
"12",2.53269097743384e-12,-1.36034708916592e-12,-2.74026023711087e-12,-1.73843136241473e-13,2.49893196555865e-12,7.25822312000173e-12,-1.60247626592467e-12,-1.05485257736426e-12,-0.0590249841209415,-0.0830684565867524,-0.287597081145081,1,-0.207977907039819,-0.113622034542197,-0.0509596679994784,-0.271738260469031,3.68574366205446e-12,1.93993594418995e-12,-2.4092014283625e-12,-1.41956743558563e-12,6.07856982017763e-12,7.44853423809685e-13,-9.47350001267794e-12,8.17434003801004e-12,1.09064147195109e-11,3.67121383078194e-12,-1.10262293295572e-12,-1.07575107150219e-11,8.81565521411303e-12,2.11674683892725e-12,3.40690767750659e-11,-1.22366557269704e-11
"13",2.33983222588169e-12,-4.77289232400838e-13,6.19823731402295e-13,-5.17908978297423e-13,-9.04698788792496e-13,2.37844747209124e-12,9.17226931186237e-13,-1.764594556349e-12,-0.0101335565298825,-0.0142613998635705,-0.0493753843970324,-0.207977907039819,1,-0.1181186666319,-0.0529764148338886,-0.282492397963985,8.55751417251011e-13,6.35965656371111e-13,-1.12195622285109e-12,2.21055545558794e-14,2.07046647241886e-12,-1.6151254035931e-12,-8.95218123249371e-13,2.46187547996778e-12,5.79365733877943e-13,1.24643920493573e-13,1.00411733754422e-13,-1.71385204184739e-12,6.92567465332281e-12,-1.8697125394917e-12,8.64083456708468e-13,-4.82988789611268e-12
"14",-9.46911787381787e-13,2.88481042015218e-13,3.45008936288665e-14,9.09618501211482e-13,-8.17788117593219e-15,-2.62242634341751e-12,7.36445216758077e-13,-3.73182494294892e-13,-0.00553614240494631,-0.00779125673451285,-0.0269746518336186,-0.113622034542197,-0.1181186666319,1,-0.0648443671880462,-0.345777282940533,-1.61796858066352e-12,6.00077045894205e-14,7.18707623180289e-13,6.02245233021162e-13,-8.49031239972671e-13,-1.5382483161779e-13,-6.10850018019018e-12,-1.69001677078995e-12,-3.28083135419679e-12,-9.1268314844555e-13,-1.0740834580507e-13,7.47209426000042e-13,-1.09480709470486e-12,-2.4108044948403e-12,-1.29979039951091e-12,4.65048760418512e-12
"15",-1.66438292978932e-12,7.98373893303643e-13,2.70016619776453e-13,1.06515411953672e-12,-1.24052558805862e-12,2.50123845058467e-12,-6.17940606958889e-12,-1.76664446868533e-12,-0.00248296891753559,-0.00349439136621595,-0.0120981753857382,-0.0509596679994785,-0.0529764148338888,-0.0648443671880464,1,-0.263302041443259,1.10181426959242e-12,-7.8986813418021e-13,6.67931019277558e-13,5.13314219535763e-13,-1.31784613058266e-12,-1.43622847114262e-12,2.15823865826768e-12,-6.59077393458506e-12,-1.96012884323526e-12,-2.60356618503606e-13,2.3271263617742e-12,4.94136341967309e-12,-1.0621279381755e-11,-2.44197521306396e-12,-6.12871294074847e-12,-2.38114411298485e-12
"16",1.680800511399e-12,-8.96504319152272e-13,-1.29318122109935e-12,-8.48487389037491e-13,2.08225657097646e-12,1.41861497705799e-12,4.30776703339293e-13,1.91291067847382e-12,-0.0132402285528913,-0.0186335560668402,-0.0645125304741528,-0.271738260469031,-0.282492397963985,-0.345777282940533,-0.26330204144326,1,1.28119519613816e-12,8.91061149459134e-14,-1.99782530811471e-13,-1.33210829630844e-12,2.90188201355876e-13,2.38653632283929e-12,-1.62734104220129e-12,7.23587679331279e-12,6.14619348999e-12,1.78972017986901e-12,-1.71388728255086e-12,-5.93788465847351e-12,5.45238359733658e-12,4.18387323203421e-12,1.60890650562461e-11,-2.27936983210726e-12
"17",-9.9946175023313e-12,4.66746028587155e-12,2.48295231889111e-12,4.06743339344455e-12,-1.23174070663073e-11,-2.13654159818292e-11,5.41923595911505e-12,1.34410686869133e-11,-2.21754101511145e-11,2.94219414855559e-12,-1.88043408347063e-12,3.68574366205445e-12,8.5575141725097e-13,-1.61796858066358e-12,1.10181426959246e-12,1.28119519613818e-12,1,-0.20835641984946,-0.0653709490879896,-0.0489079772247498,-0.0096101696824231,-0.00429997479157055,-0.00152404456626034,-0.00229011698012771,-1.63260633879202e-11,1.12884221094382e-11,-7.31157681336495e-12,1.28750337692821e-11,-2.75237906592151e-11,1.73187717242426e-11,-5.28203496882806e-11,1.68811657200945e-11
"18",-4.62964968093474e-12,6.28208585123455e-13,-2.76700861698825e-12,2.06245391781198e-12,6.06260096597781e-12,6.52600672427811e-12,3.39381414085702e-13,-1.15826056462016e-11,-7.45392026973181e-12,-1.95078084196946e-12,5.84711690875447e-14,1.93993594418998e-12,6.3596565637104e-13,6.00077045894435e-14,-7.89868134180173e-13,8.91061149460456e-14,-0.20835641984946,1,-0.202936467162417,-0.151829096139829,-0.0298336479968912,-0.0133487689015259,-0.00473121818977391,-0.00710940034919732,-1.71531056191318e-11,-1.25379967694123e-12,6.91504984983954e-12,4.26495029324498e-12,-2.36999318956946e-12,-1.77652432180661e-11,-7.95845998342154e-12,4.02349101563529e-12
"19",6.24313471024213e-12,-1.28666502014544e-12,-3.40420791158959e-13,-4.42207325627012e-12,5.17915427870278e-12,3.04074673301202e-12,-3.41013269088658e-13,1.45248691183617e-12,7.48135451310093e-12,-1.89381160431045e-12,2.69446355569358e-12,-2.40920142836251e-12,-1.12195622285103e-12,7.18707623180336e-13,6.67931019277574e-13,-1.99782530811654e-13,-0.0653709490879908,-0.202936467162417,1,-0.505626462388872,-0.0993530375641282,-0.0444545279618838,-0.0157560650780249,-0.0236759687727339,1.23828706028361e-11,-1.66088362863492e-12,-3.73206515507728e-13,-1.03422723571073e-11,1.57706795899321e-11,-2.0204194743481e-12,3.18822759963162e-11,-7.13942987388967e-12
"20",1.12743397776904e-11,-3.39319127790195e-12,-4.65193496673082e-12,-5.35095396341103e-13,9.80932866584675e-12,6.55353125864836e-12,1.33638062748891e-12,-6.50430991837015e-12,2.03087540356779e-12,-8.66871727701115e-12,8.7131417531634e-12,-1.41956743558568e-12,2.2105554555807e-14,6.02245233021038e-13,5.13314219535643e-13,-1.332108296308e-12,-0.0489079772247454,-0.15182909613983,-0.505626462388872,1,-0.24903413888356,-0.11142784724926,-0.0394934890186182,-0.0593451860092938,1.35537139880995e-11,-3.75131210839199e-12,2.09817849307408e-12,-1.39355171702672e-11,2.26581665308074e-11,-1.48632840790912e-11,4.06617471656159e-11,-5.71452789044191e-12
