"","time","s0","i0","s1","i1","race","scenario","I","scen","waifw","scen_waifw"
"102",50,0.685724766141163,0.314275234188483,-6.33995756055375e-10,2.55804468629222e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.314275234444288,"1","Assortative","Treatment - Assortative"
"103",0,0.466886547306564,0.533113452558175,0,0,"Hispanic","One-Time Treatment: 80% Effectiveness",0.533113452558175,"1","Assortative","Treatment - Assortative"
"104",1,0.46684596094083,0.534121106456155,-0.000864426655733592,-0.000102640875403486,"Hispanic","One-Time Treatment: 80% Effectiveness",0.534018465580752,"1","Assortative","Treatment - Assortative"
"105",2,0.723622515033917,0.242607874849057,0.032006972609857,0.00176263737415859,"Hispanic","One-Time Treatment: 80% Effectiveness",0.244370512223215,"1","Assortative","Treatment - Assortative"
"106",3,0.753906947189976,0.246056709714392,3.47063796795641e-05,1.63658411300494e-06,"Hispanic","One-Time Treatment: 80% Effectiveness",0.246058346298505,"1","Assortative","Treatment - Assortative"
"107",4,0.752266627022757,0.247722430596884,1.05737502282587e-05,3.68499494253735e-07,"Hispanic","One-Time Treatment: 80% Effectiveness",0.247722799096378,"1","Assortative","Treatment - Assortative"
"108",5,0.750571035250224,0.249429163014194,-1.92145505785551e-07,-6.24831346867904e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.24942915676588,"1","Assortative","Treatment - Assortative"
"109",6,0.748822798531823,0.251177197246627,3.15359071882918e-09,9.39826334403554e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.251177198186453,"1","Assortative","Treatment - Assortative"
"110",7,0.747033324518336,0.252966675370212,2.03578176667816e-10,-2.18959434486778e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.252966675151252,"1","Assortative","Treatment - Assortative"
"111",8,0.745202699532607,0.2547973003345,-6.16756126399409e-10,6.24148074749341e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.254797300958648,"1","Assortative","Treatment - Assortative"
"112",9,0.743331260842002,0.256668739033648,-1.3511504803001e-10,1.35329528961682e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.256668739168978,"1","Assortative","Treatment - Assortative"
"113",10,0.741419405216809,0.258580594660677,-6.55013210826634e-10,6.54790217138219e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.258580595315468,"1","Assortative","Treatment - Assortative"
"114",11,0.739467585034181,0.260532414844001,1.42647015051509e-09,-1.42595676912263e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.260532413418044,"1","Assortative","Treatment - Assortative"
"115",12,0.737476322938977,0.262523676941332,-4.60500295474894e-10,4.60352433024803e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.262523677401684,"1","Assortative","Treatment - Assortative"
"116",13,0.735446184705494,0.26455381517635,-7.54150070279552e-10,7.53965874503608e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.264553815930316,"1","Assortative","Treatment - Assortative"
"117",14,0.733377790766145,0.266622209116974,6.34525953145554e-10,-6.34452962136183e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.266622208482521,"1","Assortative","Treatment - Assortative"
"118",15,0.73127181279424,0.268728187090707,-3.69688956288022e-09,3.69670136790909e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.268728190787408,"1","Assortative","Treatment - Assortative"
"119",16,0.729128938870518,0.270871061015861,2.41608009335703e-09,-2.41610256454351e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.270871058599759,"1","Assortative","Treatment - Assortative"
"120",17,0.726949931112863,0.273050068775086,-9.43074685501645e-10,9.43114024778936e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.2730500697182,"1","Assortative","Treatment - Assortative"
"121",18,0.72473555443229,0.275264445457405,6.66161850968655e-10,-6.66204233635589e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.275264444791201,"1","Assortative","Treatment - Assortative"
"122",19,0.722486634175303,0.277513365715939,-1.97669896564147e-09,1.97680569208398e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.277513367692745,"1","Assortative","Treatment - Assortative"
"123",20,0.720204013142095,0.279795986750969,6.08617562466609e-10,-6.08604635939771e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.279795986142364,"1","Assortative","Treatment - Assortative"
"124",21,0.717888588470992,0.282111411424036,-1.51975855362745e-09,1.51956655087437e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.282111412943602,"1","Assortative","Treatment - Assortative"
"125",22,0.715541270797947,0.28445872909832,1.21790445405352e-09,-1.21754777442258e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.284458727880772,"1","Assortative","Treatment - Assortative"
"126",23,0.713163020703377,0.286836979195399,-8.66663038662215e-10,8.66328933206979e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.286836980061728,"1","Assortative","Treatment - Assortative"
"127",24,0.710754809140143,0.289245190759983,3.83658281160544e-10,-3.83497681258651e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.289245190376485,"1","Assortative","Treatment - Assortative"
"128",25,0.708317647204734,0.291682352697858,-1.05569898889187e-09,1.05526561262933e-09,"Hispanic","One-Time Treatment: 80% Effectiveness",0.291682353753124,"1","Assortative","Treatment - Assortative"
"129",26,0.705852559182674,0.294147440721492,-2.71915499714133e-10,2.71804976174248e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.294147440993297,"1","Assortative","Treatment - Assortative"
"130",27,0.703360600577971,0.296639399328291,-7.79996425043561e-10,7.79710980446442e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.296639400108002,"1","Assortative","Treatment - Assortative"
